ts,ts_anterior,diferencia,mins,is_early_finish,TARGET
2017-01-13 19:47:28+00:00,2017-01-13 19:45:53+00:00,0 days 00:01:35,0 days 00:03:45.983000,0.0,False
2017-01-13 19:47:59+00:00,2017-01-13 19:47:28+00:00,0 days 00:00:31,0 days 00:04:11.088000,1.0,False
2017-01-13 19:59:05+00:00,2017-01-13 19:47:59+00:00,0 days 00:11:06,0 days 00:03:56.001000,,False
2017-01-13 19:59:55+00:00,2017-01-13 19:59:05+00:00,0 days 00:00:50,0 days 00:03:42.040000,1.0,False
2017-01-13 19:59:57+00:00,2017-01-13 19:59:55+00:00,0 days 00:00:02,0 days 00:03:15.612000,1.0,False
2017-01-13 19:59:58+00:00,2017-01-13 19:59:57+00:00,0 days 00:00:01,0 days 00:03:18.774000,1.0,False
2017-01-13 20:04:50+00:00,2017-01-13 19:59:58+00:00,0 days 00:04:52,0 days 00:04:51.893000,0.0,False
2017-01-13 20:05:13+00:00,2017-01-13 20:04:50+00:00,0 days 00:00:23,0 days 00:02:53.986000,1.0,False
2017-01-13 20:05:20+00:00,2017-01-13 20:05:13+00:00,0 days 00:00:07,0 days 00:03:46.160000,1.0,False
2017-01-13 20:09:15+00:00,2017-01-13 20:05:20+00:00,0 days 00:03:55,0 days 00:03:28.733000,0.0,False
2017-01-13 20:09:17+00:00,2017-01-13 20:09:15+00:00,0 days 00:00:02,0 days 00:03:14.080000,1.0,False
2017-01-13 20:09:19+00:00,2017-01-13 20:09:17+00:00,0 days 00:00:02,0 days 00:03:01.880000,1.0,False
2017-01-13 20:09:48+00:00,2017-01-13 20:09:19+00:00,0 days 00:00:29,0 days 00:03:17.793000,1.0,False
2017-01-13 20:09:49+00:00,2017-01-13 20:09:48+00:00,0 days 00:00:01,0 days 00:03:39.159000,1.0,False
2017-01-13 20:09:51+00:00,2017-01-13 20:09:49+00:00,0 days 00:00:02,0 days 00:03:46.720000,1.0,False
2017-01-13 20:09:52+00:00,2017-01-13 20:09:51+00:00,0 days 00:00:01,0 days 00:03:11.379000,1.0,False
2017-01-13 20:09:53+00:00,2017-01-13 20:09:52+00:00,0 days 00:00:01,0 days 00:02:55.517000,1.0,False
2017-01-13 20:09:55+00:00,2017-01-13 20:09:53+00:00,0 days 00:00:02,0 days 00:03:50.226000,1.0,False
2017-01-13 20:09:56+00:00,2017-01-13 20:09:55+00:00,0 days 00:00:01,0 days 00:03:13.181000,1.0,False
2017-01-13 20:09:57+00:00,2017-01-13 20:09:56+00:00,0 days 00:00:01,0 days 00:03:12.846000,1.0,False
2017-01-13 20:14:02+00:00,2017-01-13 20:09:57+00:00,0 days 00:04:05,0 days 00:03:15.920000,0.0,False
2017-01-13 20:17:34+00:00,2017-01-13 20:14:02+00:00,0 days 00:03:32,0 days 00:03:30.293000,0.0,False
2017-01-13 20:19:25+00:00,2017-01-13 20:17:34+00:00,0 days 00:01:51,0 days 00:03:21.254000,1.0,False
2017-01-13 20:22:33+00:00,2017-01-13 20:19:25+00:00,0 days 00:03:08,0 days 00:03:07.973000,0.0,False
2017-01-13 20:23:38+00:00,2017-01-13 20:22:33+00:00,0 days 00:01:05,0 days 00:03:42.560000,1.0,False
2017-01-13 20:23:40+00:00,2017-01-13 20:23:38+00:00,0 days 00:00:02,0 days 00:02:41.144000,1.0,False
2017-01-13 20:23:41+00:00,2017-01-13 20:23:40+00:00,0 days 00:00:01,0 days 00:03:42.400000,1.0,False
2017-01-13 20:23:45+00:00,2017-01-13 20:23:41+00:00,0 days 00:00:04,0 days 00:03:29.746000,1.0,False
2017-01-13 20:23:46+00:00,2017-01-13 20:23:45+00:00,0 days 00:00:01,0 days 00:04:18.986000,1.0,False
2017-01-13 20:23:50+00:00,2017-01-13 20:23:46+00:00,0 days 00:00:04,0 days 00:03:37.706000,1.0,False
2017-01-13 20:23:51+00:00,2017-01-13 20:23:50+00:00,0 days 00:00:01,0 days 00:03:56.001000,1.0,False
2017-01-13 20:23:53+00:00,2017-01-13 20:23:51+00:00,0 days 00:00:02,0 days 00:03:45.205000,1.0,False
2017-01-13 20:23:55+00:00,2017-01-13 20:23:53+00:00,0 days 00:00:02,0 days 00:03:30.226000,1.0,False
2017-01-13 20:26:31+00:00,2017-01-13 20:23:55+00:00,0 days 00:02:36,0 days 00:03:25.600000,1.0,False
2017-01-13 20:26:32+00:00,2017-01-13 20:26:31+00:00,0 days 00:00:01,0 days 00:02:54.933000,1.0,False
2017-01-13 20:26:43+00:00,2017-01-13 20:26:32+00:00,0 days 00:00:11,0 days 00:03:50.453000,1.0,False
2017-01-13 20:26:43+00:00,2017-01-13 20:26:43+00:00,0 days 00:00:00,0 days 00:04:21.153000,1.0,False
2017-01-14 06:18:37+00:00,2017-01-13 20:26:43+00:00,0 days 09:51:54,0 days 00:03:15.706000,,False
2017-01-14 06:22:49+00:00,2017-01-14 06:18:37+00:00,0 days 00:04:12,0 days 00:04:51.893000,0.0,False
2017-01-14 06:26:37+00:00,2017-01-14 06:22:49+00:00,0 days 00:03:48,0 days 00:03:47.457000,0.0,False
2017-01-14 06:29:58+00:00,2017-01-14 06:26:37+00:00,0 days 00:03:21,0 days 00:04:19.195000,1.0,False
2017-01-14 06:30:35+00:00,2017-01-14 06:29:58+00:00,0 days 00:00:37,0 days 00:04:02.331000,1.0,False
2017-01-14 06:37:48+00:00,2017-01-14 06:30:35+00:00,0 days 00:07:13,0 days 00:02:20.736000,0.0,False
2017-01-14 06:37:50+00:00,2017-01-14 06:37:48+00:00,0 days 00:00:02,0 days 00:03:05.431000,1.0,False
2017-01-14 06:38:08+00:00,2017-01-14 06:37:50+00:00,0 days 00:00:18,0 days 00:03:03.510000,1.0,False
2017-01-14 06:38:32+00:00,2017-01-14 06:38:08+00:00,0 days 00:00:24,0 days 00:03:03.110000,1.0,False
2017-01-14 06:41:33+00:00,2017-01-14 06:38:32+00:00,0 days 00:03:01,0 days 00:03:00.035000,0.0,False
2017-01-14 06:41:43+00:00,2017-01-14 06:41:33+00:00,0 days 00:00:10,0 days 00:03:05.431000,1.0,False
2017-01-14 06:41:46+00:00,2017-01-14 06:41:43+00:00,0 days 00:00:03,0 days 00:02:50.346000,1.0,False
2017-01-14 06:41:48+00:00,2017-01-14 06:41:46+00:00,0 days 00:00:02,0 days 00:03:19.495000,1.0,False
2017-01-14 06:44:44+00:00,2017-01-14 06:41:48+00:00,0 days 00:02:56,0 days 00:02:55.804000,0.0,False
2017-01-14 06:50:05+00:00,2017-01-14 06:44:44+00:00,0 days 00:05:21,0 days 00:03:15.612000,0.0,False
2017-01-14 06:52:34+00:00,2017-01-14 06:50:05+00:00,0 days 00:02:29,0 days 00:02:29.160000,1.0,False
2017-01-14 06:54:19+00:00,2017-01-14 06:52:34+00:00,0 days 00:01:45,0 days 00:03:35.386000,1.0,False
2017-01-14 06:56:55+00:00,2017-01-14 06:54:19+00:00,0 days 00:02:36,0 days 00:02:37.080000,1.0,False
2017-01-14 06:59:22+00:00,2017-01-14 06:56:55+00:00,0 days 00:02:27,0 days 00:02:26.240000,0.0,False
2017-01-14 07:00:39+00:00,2017-01-14 06:59:22+00:00,0 days 00:01:17,0 days 00:02:33.573000,1.0,False
2017-01-14 07:00:40+00:00,2017-01-14 07:00:39+00:00,0 days 00:00:01,0 days 00:02:45.759000,1.0,False
2017-01-14 07:00:44+00:00,2017-01-14 07:00:40+00:00,0 days 00:00:04,0 days 00:02:26.173000,1.0,False
2017-01-14 07:00:44+00:00,2017-01-14 07:00:44+00:00,0 days 00:00:00,0 days 00:02:26.625000,1.0,False
2017-01-14 07:00:45+00:00,2017-01-14 07:00:44+00:00,0 days 00:00:01,0,0.0,False
2017-01-14 07:00:47+00:00,2017-01-14 07:00:45+00:00,0 days 00:00:02,0 days 00:02:31.573000,1.0,False
2017-01-14 07:03:53+00:00,2017-01-14 07:00:47+00:00,0 days 00:03:06,0 days 00:03:05.186000,0.0,False
2017-01-14 07:06:48+00:00,2017-01-14 07:03:53+00:00,0 days 00:02:55,0 days 00:02:55.800000,1.0,False
2017-01-14 07:07:18+00:00,2017-01-14 07:06:48+00:00,0 days 00:00:30,0 days 00:02:20.736000,1.0,False
2017-01-14 07:07:44+00:00,2017-01-14 07:07:18+00:00,0 days 00:00:26,0 days 00:02:48.414000,1.0,False
2017-01-14 07:07:52+00:00,2017-01-14 07:07:44+00:00,0 days 00:00:08,0 days 00:03:09.036000,1.0,False
2017-01-14 07:08:57+00:00,2017-01-14 07:07:52+00:00,0 days 00:01:05,0 days 00:03:50.148000,1.0,False
2017-01-14 07:09:10+00:00,2017-01-14 07:08:57+00:00,0 days 00:00:13,0 days 00:03:27.093000,0.0,False
2017-01-14 07:09:13+00:00,2017-01-14 07:09:10+00:00,0 days 00:00:03,0 days 00:04:26.906000,0.0,False
2017-01-14 07:09:36+00:00,2017-01-14 07:09:13+00:00,0 days 00:00:23,0 days 00:05:06.373000,0.0,False
2017-01-14 07:15:27+00:00,2017-01-14 07:09:36+00:00,0 days 00:05:51,0 days 00:03:05.146000,0.0,False
2017-01-14 07:15:27+00:00,2017-01-14 07:15:27+00:00,0 days 00:00:00,0 days 00:04:47.173000,0.0,False
2017-01-14 07:15:30+00:00,2017-01-14 07:15:27+00:00,0 days 00:00:03,0 days 00:03:19.071000,0.0,False
2017-01-14 07:17:27+00:00,2017-01-14 07:15:30+00:00,0 days 00:01:57,0 days 00:03:27.306000,1.0,False
2017-01-14 07:17:31+00:00,2017-01-14 07:17:27+00:00,0 days 00:00:04,0 days 00:03:53.559000,1.0,False
2017-01-14 07:17:32+00:00,2017-01-14 07:17:31+00:00,0 days 00:00:01,0 days 00:03:36.007000,1.0,False
2017-01-14 07:17:34+00:00,2017-01-14 07:17:32+00:00,0 days 00:00:02,0 days 00:03:22.228000,1.0,False
2017-01-14 07:17:38+00:00,2017-01-14 07:17:34+00:00,0 days 00:00:04,0 days 00:03:29.600000,1.0,False
2017-01-14 07:17:42+00:00,2017-01-14 07:17:38+00:00,0 days 00:00:04,0 days 00:03:46.413000,0.0,False
2017-01-14 07:17:43+00:00,2017-01-14 07:17:42+00:00,0 days 00:00:01,0 days 00:03:34.986000,1.0,False
2017-01-14 07:21:44+00:00,2017-01-14 07:17:43+00:00,0 days 00:04:01,0 days 00:04:00.200000,0.0,False
2017-01-14 07:24:54+00:00,2017-01-14 07:21:44+00:00,0 days 00:03:10,0 days 00:03:27.013000,1.0,False
2017-01-14 07:24:58+00:00,2017-01-14 07:24:54+00:00,0 days 00:00:04,0 days 00:03:46.413000,1.0,False
2017-01-14 07:24:59+00:00,2017-01-14 07:24:58+00:00,0 days 00:00:01,0 days 00:03:29.786000,1.0,False
2017-01-14 07:28:31+00:00,2017-01-14 07:24:59+00:00,0 days 00:03:32,0 days 00:03:03.320000,0.0,False
2017-01-14 07:29:25+00:00,2017-01-14 07:28:31+00:00,0 days 00:00:54,0 days 00:04:35.945000,1.0,False
2017-01-14 07:29:28+00:00,2017-01-14 07:29:25+00:00,0 days 00:00:03,0 days 00:03:47.555000,1.0,False
2017-01-14 07:29:41+00:00,2017-01-14 07:29:28+00:00,0 days 00:00:13,0 days 00:03:58.080000,1.0,False
2017-01-14 07:29:43+00:00,2017-01-14 07:29:41+00:00,0 days 00:00:02,0 days 00:03:54.813000,0.0,False
2017-01-14 07:29:44+00:00,2017-01-14 07:29:43+00:00,0 days 00:00:01,0 days 00:02:51.374000,0.0,False
2017-01-14 07:29:46+00:00,2017-01-14 07:29:44+00:00,0 days 00:00:02,0 days 00:02:26.500000,0.0,False
2017-01-14 07:29:48+00:00,2017-01-14 07:29:46+00:00,0 days 00:00:02,0 days 00:02:55.535000,0.0,False
2017-01-14 07:29:50+00:00,2017-01-14 07:29:48+00:00,0 days 00:00:02,0 days 00:02:52.693000,0.0,False
2017-01-14 07:29:51+00:00,2017-01-14 07:29:50+00:00,0 days 00:00:01,0 days 00:03:21,0.0,False
2017-01-14 07:29:53+00:00,2017-01-14 07:29:51+00:00,0 days 00:00:02,0 days 00:03:02.166000,0.0,False
2017-01-14 07:29:59+00:00,2017-01-14 07:29:53+00:00,0 days 00:00:06,0 days 00:02:17.049000,0.0,False
2017-01-14 07:32:35+00:00,2017-01-14 07:29:59+00:00,0 days 00:02:36,0 days 00:02:37.080000,0.0,False
2017-01-14 07:40:22+00:00,2017-01-14 07:32:35+00:00,0 days 00:07:47,0 days 00:02:45.759000,0.0,False
2017-01-14 07:42:49+00:00,2017-01-14 07:40:22+00:00,0 days 00:02:27,0 days 00:02:26.173000,0.0,False
2017-01-14 07:44:08+00:00,2017-01-14 07:42:49+00:00,0 days 00:01:19,0 days 00:02:26.625000,1.0,False
2017-01-14 07:47:10+00:00,2017-01-14 07:44:08+00:00,0 days 00:03:02,0 days 00:03:02.306000,0.0,False
2017-01-14 07:50:27+00:00,2017-01-14 07:47:10+00:00,0 days 00:03:17,0 days 00:03:29.186000,1.0,False
2017-01-14 07:51:31+00:00,2017-01-14 07:50:27+00:00,0 days 00:01:04,0 days 00:04:07.510000,0.0,False
2017-01-14 07:52:12+00:00,2017-01-14 07:51:31+00:00,0 days 00:00:41,0 days 00:03:00.267000,0.0,False
2017-01-14 07:52:20+00:00,2017-01-14 07:52:12+00:00,0 days 00:00:08,0 days 00:04:16.727000,0.0,False
2017-01-14 07:52:31+00:00,2017-01-14 07:52:20+00:00,0 days 00:00:11,0 days 00:03:17.880000,0.0,False
2017-01-14 07:56:37+00:00,2017-01-14 07:52:31+00:00,0 days 00:04:06,0 days 00:03:25.760000,0.0,False
2017-01-14 07:59:48+00:00,2017-01-14 07:56:37+00:00,0 days 00:03:11,0 days 00:03:13,1.0,False
2017-01-14 08:00:01+00:00,2017-01-14 07:59:48+00:00,0 days 00:00:13,0 days 00:03:07.120000,1.0,False
2017-01-14 15:54:46+00:00,2017-01-14 08:00:01+00:00,0 days 07:54:45,0 days 00:03:15.706000,0.0,False
2017-01-14 15:55:11+00:00,2017-01-14 15:54:46+00:00,0 days 00:00:25,0 days 00:03:47.457000,0.0,False
2017-01-14 15:59:01+00:00,2017-01-14 15:55:11+00:00,0 days 00:03:50,0 days 00:03:47.457000,0.0,False
2017-01-14 15:59:36+00:00,2017-01-14 15:59:01+00:00,0 days 00:00:35,0 days 00:03:57.213000,0.0,False
2017-01-14 15:59:40+00:00,2017-01-14 15:59:36+00:00,0 days 00:00:04,0 days 00:02:46.973000,0.0,False
2017-01-14 16:01:01+00:00,2017-01-14 15:59:40+00:00,0 days 00:01:21,0 days 00:02:25.080000,1.0,False
2017-01-14 16:05:09+00:00,2017-01-14 16:01:01+00:00,0 days 00:04:08,0 days 00:04:08.426000,1.0,False
2017-01-14 16:09:38+00:00,2017-01-14 16:05:09+00:00,0 days 00:04:29,0,0.0,False
2017-01-14 16:09:52+00:00,2017-01-14 16:09:38+00:00,0 days 00:00:14,0 days 00:02:50.293000,1.0,False
2017-01-14 16:09:53+00:00,2017-01-14 16:09:52+00:00,0 days 00:00:01,0 days 00:02:46.973000,1.0,False
2017-01-14 16:09:55+00:00,2017-01-14 16:09:53+00:00,0 days 00:00:02,0 days 00:03:54.826000,1.0,False
2017-01-14 16:09:56+00:00,2017-01-14 16:09:55+00:00,0 days 00:00:01,0 days 00:16:59.573000,1.0,False
2017-01-14 16:17:24+00:00,2017-01-14 16:09:56+00:00,0 days 00:07:28,0 days 00:03:34.160000,0.0,False
2017-01-14 16:21:18+00:00,2017-01-14 16:17:24+00:00,0 days 00:03:54,0 days 00:03:53.293000,0.0,False
2017-01-14 16:24:27+00:00,2017-01-14 16:21:18+00:00,0 days 00:03:09,0 days 00:05:37.386000,1.0,False
2017-01-14 16:24:27+00:00,2017-01-14 16:24:27+00:00,0 days 00:00:00,0 days 00:09:06.960000,1.0,False
2017-01-14 16:33:08+00:00,2017-01-14 16:24:27+00:00,0 days 00:08:41,0 days 00:08:08.680000,0.0,False
2017-01-14 16:36:29+00:00,2017-01-14 16:33:08+00:00,0 days 00:03:21,0 days 00:03:15.706000,0.0,False
2017-01-14 16:40:43+00:00,2017-01-14 16:36:29+00:00,0 days 00:04:14,0 days 00:03:47.457000,0.0,False
2017-01-14 16:45:38+00:00,2017-01-14 16:40:43+00:00,0 days 00:04:55,0 days 00:04:51.893000,0.0,False
2017-01-14 16:49:45+00:00,2017-01-14 16:45:38+00:00,0 days 00:04:07,0 days 00:04:07.866000,0.0,False
2017-01-14 16:56:29+00:00,2017-01-14 16:49:45+00:00,0 days 00:06:44,0 days 00:03:26.066000,0.0,False
2017-01-14 16:56:39+00:00,2017-01-14 16:56:29+00:00,0 days 00:00:10,0 days 00:03:19.453000,1.0,False
2017-01-14 16:56:41+00:00,2017-01-14 16:56:39+00:00,0 days 00:00:02,0 days 00:02:53.986000,1.0,False
2017-01-14 17:00:49+00:00,2017-01-14 16:56:41+00:00,0 days 00:04:08,0 days 00:03:42.160000,0.0,False
2017-01-14 17:02:19+00:00,2017-01-14 17:00:49+00:00,0 days 00:01:30,0 days 00:03:05.194000,1.0,False
2017-01-14 17:02:20+00:00,2017-01-14 17:02:19+00:00,0 days 00:00:01,0 days 00:03:55.946000,1.0,False
2017-01-14 22:57:12+00:00,2017-01-14 17:02:20+00:00,0 days 05:54:52,0 days 00:02:37.080000,0.0,False
2017-01-14 22:59:50+00:00,2017-01-14 22:57:12+00:00,0 days 00:02:38,0 days 00:02:37.080000,0.0,False
2017-01-14 23:09:13+00:00,2017-01-14 22:59:50+00:00,0 days 00:09:23,0 days 00:03:15.706000,0.0,False
2017-01-14 23:13:27+00:00,2017-01-14 23:09:13+00:00,0 days 00:04:14,0 days 00:03:47.457000,0.0,False
2017-01-14 23:17:45+00:00,2017-01-14 23:13:27+00:00,0 days 00:04:18,0 days 00:04:19.195000,1.0,False
2017-01-14 23:22:21+00:00,2017-01-14 23:17:45+00:00,0 days 00:04:36,0 days 00:04:03.413000,0.0,False
2017-01-14 23:26:04+00:00,2017-01-14 23:22:21+00:00,0 days 00:03:43,0 days 00:03:15.920000,0.0,False
2017-01-14 23:31:59+00:00,2017-01-14 23:26:04+00:00,0 days 00:05:55,0 days 00:04:04.960000,0.0,False
2017-01-14 23:35:42+00:00,2017-01-14 23:31:59+00:00,0 days 00:03:43,0 days 00:03:42.560000,0.0,False
2017-01-15 04:23:59+00:00,2017-01-14 23:35:42+00:00,0 days 04:48:17,0 days 00:03:31.666000,0.0,False
2017-01-15 04:26:25+00:00,2017-01-15 04:23:59+00:00,0 days 00:02:26,0 days 00:04:11.088000,1.0,False
2017-01-15 04:30:34+00:00,2017-01-15 04:26:25+00:00,0 days 00:04:09,0 days 00:04:51.893000,1.0,False
2017-01-15 04:34:58+00:00,2017-01-15 04:30:34+00:00,0 days 00:04:24,0 days 00:03:45.983000,0.0,False
